x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
775,528,109,791,763,883,511,890,595,474
751,250,105,899,889,803,503,868,1021,426
754,631,115,1187,594,1170,500,785,708,42
357,232,120,471,490,353,510,575,946,398
1139,962,124,935,358,531,508,821,1380,1034
759,814,116,687,345,90,492,631,766,-312
1256,1223,113,642,674,863,508,1030,441,260
725,1000,123,1114,438,279,499,865,846,948
324,778,133,837,310,353,498,1014,924,544
927,692,139,1017,343,364,502,872,457,735
832,1125,123,1074,313,790,492,631,1022,35
896,825,140,551,409,412,498,764,834,583
1001,1320,150,713,324,218,499,825,1272,976
501,915,150,985,817,858,506,791,818,920
363,1456,152,707,443,559,506,692,1109,975
640,1356,152,839,206,293,509,780,810,524
686,795,140,947,811,121,496,838,1132,647
284,599,145,923,832,605,490,1056,901,804
404,672,151,617,521,826,499,879,650,618
731,782,151,1257,606,767,508,970,870,743
433,918,143,851,645,323,493,884,1308,-38
461,869,155,1097,560,180,506,580,438,148
1929,584,156,506,415,671,504,553,516,-96
595,449,165,920,461,905,509,656,896,1071
591,808,169,944,664,424,509,1116,963,460
623,987,170,578,571,784,516,848,528,255
447,877,169,749,481,329,526,583,637,277
1060,231,160,509,792,429,527,873,790,681
387,687,174,652,508,523,530,931,1071,560
555,556,168,791,388,292,539,979,1196,473
646,670,159,571,548,773,549,920,1159,468
914,721,167,1165,526,530,531,729,704,848
781,827,167,756,427,709,542,726,1246,744
357,756,177,640,393,455,539,883,560,939
696,1160,163,728,640,615,541,820,1570,794
478,1110,172,1122,935,583,550,675,1008,40
226,925,164,742,416,709,549,719,679,261
449,247,155,843,416,1060,554,1027,894,162
698,722,160,857,492,440,545,1134,633,868
1277,1149,162,932,797,660,557,768,99,494
597,15,152,570,220,456,545,587,656,471
369,808,163,752,310,478,545,772,1202,37
24,1066,153,735,588,726,556,1059,1092,505
816,912,144,789,369,818,562,475,907,480
572,1000,144,1171,321,872,562,773,907,398
581,728,149,686,582,202,561,964,1074,367
1107,915,143,1150,451,415,567,789,549,339
453,586,145,786,716,239,564,765,1350,156
56,801,141,1059,631,618,561,1239,1175,401
178,1214,146,763,418,156,559,835,993,828
583,526,136,1053,613,822,563,1169,610,905
793,863,134,279,772,670,571,943,1131,54
246,855,143,824,245,390,564,1187,1526,405
708,755,133,685,422,262,566,682,183,661
528,715,123,197,1132,592,563,713,1966,371
1158,1050,129,1335,438,875,566,924,973,631
540,1337,132,724,422,823,559,595,557,344
788,1019,119,770,202,564,570,779,431,735
1167,550,124,353,895,646,561,910,-168,264
641,1027,114,880,568,681,559,659,1622,464
925,1062,129,1226,731,260,555,848,1037,763
681,392,138,1198,480,537,560,856,1194,96
937,951,128,530,340,448,562,910,681,715
700,551,142,559,337,403,550,466,1251,842
812,485,132,911,313,778,550,823,984,786
192,826,130,690,556,986,569,649,934,412
173,579,130,679,652,415,560,788,844,1532
1011,1010,128,829,590,796,567,710,858,707
1075,759,139,794,688,526,559,878,723,591
916,647,148,1002,784,96,567,744,395,522
1146,771,136,1083,893,596,569,1231,523,556
1229,982,140,456,538,281,559,724,1263,781
1071,1186,143,467,471,821,551,1121,1010,914
763,659,147,564,768,420,551,819,270,876
395,694,130,785,255,316,551,659,667,291
602,1171,144,1218,398,473,552,562,1319,321
422,925,138,742,607,431,567,708,446,1109
652,1125,145,747,872,733,559,699,971,676
496,1168,135,1205,800,196,550,576,1100,171
-90,677,150,596,577,198,555,962,506,744
687,1218,137,649,385,830,554,1252,1221,1102
252,831,136,700,643,795,558,728,1119,218
1141,898,143,821,825,628,558,870,997,531
955,806,155,1087,412,426,550,1108,1479,849
528,829,145,862,637,759,558,745,606,477
912,110,141,442,336,725,563,806,1017,-26
25,828,143,979,394,581,566,1096,1342,1164
881,1160,142,689,651,266,568,716,940,359
858,865,135,927,744,165,564,1090,370,762
904,1410,153,383,640,629,564,620,523,3
760,1077,150,910,473,490,551,1085,1068,672
745,613,160,838,358,509,547,937,681,829
963,1192,162,862,476,891,537,1139,977,437
37,944,158,344,562,182,543,1035,861,967
1484,1007,152,1100,656,528,554,630,1166,312
557,643,153,1172,159,11,541,800,1199,572
-48,1155,167,1231,591,559,540,702,225,393
624,849,153,182,401,1015,556,1166,639,193
1071,544,160,1473,319,919,546,919,1351,1036
274,1156,158,594,296,785,554,990,930,382
1683,458,150,693,465,333,536,735,936,538
740,966,157,1099,574,541,556,1164,691,571
883,1157,161,1411,464,863,546,887,802,308
1196,1379,155,1205,674,502,542,971,986,68
962,946,166,1114,797,-61,554,423,557,165
1275,1112,160,527,478,100,549,969,1028,948
1481,457,152,546,361,766,545,870,1244,694
1009,600,154,1080,519,631,536,823,1191,600
549,899,161,1147,633,615,545,561,355,510
217,937,171,725,203,643,537,879,752,315
616,934,161,1245,261,647,542,1135,1098,451
484,1156,158,804,710,684,540,780,686,617
1548,755,166,1287,852,769,555,915,1405,214
667,697,156,839,419,237,543,1149,667,874
125,194,158,1138,437,934,539,642,800,754
889,794,166,998,1030,173,532,568,1199,408
982,812,171,1193,786,348,534,846,24,485
921,646,160,716,388,599,529,1012,1100,292
976,998,169,279,694,-47,530,1007,1137,284
1151,657,167,954,738,372,520,971,763,-320
616,447,164,899,416,413,518,993,507,-92
905,760,173,1255,700,132,512,1030,-73,393
781,811,163,644,586,763,509,848,581,444
696,886,169,640,648,805,514,685,1096,504
481,685,157,708,758,260,509,825,-24,814
862,664,157,1488,632,1083,510,953,672,371
481,664,158,787,323,702,518,567,1129,496
1246,1155,172,361,301,712,519,997,403,686
1037,942,163,565,727,668,508,1018,926,966
823,657,166,938,782,741,500,827,1181,-9
907,290,154,1162,703,916,510,743,936,776
1033,1096,163,191,408,764,500,915,506,378
754,787,158,726,-59,568,500,1006,859,671
853,1242,148,79,614,325,499,677,856,519
549,740,156,1060,902,486,502,995,1032,308
1354,718,138,1695,769,319,491,491,912,803
712,1291,156,1743,374,530,497,968,402,401
258,630,158,1034,492,327,490,913,767,1233
412,1173,147,1079,803,618,499,449,563,339
522,544,151,1464,771,229,497,1135,1017,106
852,906,153,356,522,938,494,820,885,546
902,796,157,907,763,748,509,1128,1106,898
663,425,146,894,757,393,499,828,796,513
917,336,154,888,533,-3,495,961,181,721
1079,820,139,1001,460,507,495,895,1011,277
962,809,152,1253,413,603,494,810,-155,485
292,1003,149,1493,437,980,508,464,1560,794
709,681,146,566,646,455,498,771,819,409
466,514,140,674,650,93,504,875,1186,883
535,771,143,559,514,621,489,632,975,640
617,603,146,1047,734,752,497,941,495,1120
1304,835,147,762,631,736,496,704,355,491
957,624,137,917,701,546,498,963,1683,1000
608,947,138,671,746,319,491,945,1005,573
808,890,130,459,503,611,508,966,679,328
800,728,147,827,853,508,505,1018,1174,420
705,1285,130,512,591,319,493,659,761,909
466,953,120,984,440,877,494,814,811,437
1152,1119,110,533,386,279,503,251,990,774
1053,905,122,13,351,299,494,551,405,324
638,892,122,691,516,250,492,1028,1267,964
1016,841,116,810,472,849,491,932,724,375
654,1065,126,954,535,97,503,655,1197,718
582,652,119,788,397,593,494,1282,418,714
815,842,127,1022,1073,891,496,912,745,631
400,688,126,438,918,155,487,871,146,582
499,670,118,680,785,831,494,799,1002,30
262,592,112,895,386,-73,503,925,1069,983
1393,790,110,163,442,611,497,591,600,971
1045,1115,114,1394,597,403,501,902,1114,169
389,703,119,902,706,376,497,948,655,478
235,978,121,1147,858,729,485,803,532,926
776,925,109,1306,552,709,503,750,1261,51
675,377,117,824,402,575,494,977,447,171
693,607,113,647,894,253,484,841,1101,1143
499,798,118,376,69,397,494,737,1548,347
1268,594,112,825,541,666,497,1084,314,675
578,1037,191,640,907,400,599,791,1612,137
820,1016,201,419,389,593,594,588,433,864
763,616,184,687,604,231,594,1020,813,557
892,1126,194,1000,312,384,607,780,891,-29
1465,770,199,634,398,475,607,823,873,580
929,1030,201,389,-58,8,590,588,1560,543
534,586,201,642,583,765,604,721,109,670
845,759,192,357,743,426,599,729,967,571
616,1070,189,1311,365,728,596,436,494,865
714,537,202,966,814,726,591,451,966,1025
985,1465,191,-200,749,307,596,970,1469,821
835,729,192,356,356,115,589,743,536,609
819,966,184,1501,636,209,608,768,759,345
629,765,193,444,515,490,599,1170,581,798
1179,884,191,1093,720,87,597,858,750,509
996,859,186,951,630,755,594,902,1336,459
373,628,195,1002,906,484,599,755,1029,-88
628,596,203,631,465,537,606,509,638,552
661,754,191,1003,644,336,607,1021,807,145
744,1215,193,1181,383,24,592,600,1117,657
389,774,195,911,263,71,604,1393,412,710
781,1146,315,816,537,337,498,738,1098,327
612,473,317,744,245,354,493,738,1269,669
1104,575,323,826,730,702,507,1238,766,995
1102,1130,323,798,505,623,493,672,615,269
550,823,313,456,308,559,497,892,1188,735
871,831,308,939,519,923,490,633,344,428
700,649,318,633,537,468,500,868,668,511
611,910,308,1257,864,558,499,721,1283,109
1018,1046,301,1100,673,402,496,859,1306,193
409,945,308,796,484,696,493,1072,710,508
411,862,302,494,694,643,499,1324,855,666
1384,1248,304,670,909,376,498,1042,823,550
1196,551,308,835,419,654,493,602,910,1042
194,975,305,1028,545,-194,495,1023,373,506
1150,1003,299,1040,492,135,504,838,548,482
920,1027,298,1036,610,329,509,678,812,443
770,955,300,1167,112,911,513,954,820,1112
1138,681,301,1344,599,331,494,699,349,28
657,494,290,975,329,682,510,986,1054,185
28,767,298,897,687,934,517,636,1431,1186
682,811,302,1069,510,654,509,898,1352,525
752,926,293,530,538,568,515,859,1494,768
1014,715,306,742,569,424,521,1136,716,937
597,516,294,414,391,520,520,788,1666,699
681,1225,288,632,779,46,525,699,949,233
1278,1378,298,658,507,35,518,1039,1249,375
711,896,303,835,500,762,518,713,355,477
621,532,302,606,494,643,518,364,743,671
448,930,298,786,449,990,522,972,814,666
1217,462,292,1496,608,316,514,1076,629,710
1368,741,306,554,595,563,512,926,685,513
530,857,307,1117,349,1041,518,946,1309,1650
738,849,306,1169,584,848,528,859,476,478
739,607,302,1476,721,330,526,1027,547,431
477,973,297,348,350,698,530,660,1478,1171
1424,879,310,971,1093,337,529,853,980,329
847,652,302,850,393,603,528,351,1290,1087
481,1007,311,1274,896,454,533,673,1047,456
579,602,307,1135,485,849,524,550,936,602
324,885,318,857,761,345,525,604,943,415
991,1297,303,1140,300,780,541,673,420,880
771,754,312,1055,728,652,523,1081,472,591
1262,693,314,735,95,673,538,932,867,1043
297,691,302,726,419,409,532,761,810,462
861,939,312,495,626,986,534,918,881,640
554,545,309,793,504,585,529,618,288,39
496,916,314,591,546,754,534,638,298,741
777,797,319,936,575,480,526,925,614,225
546,1361,307,770,55,694,539,927,588,1296
583,605,315,454,255,573,537,410,1231,735
888,849,315,691,703,560,525,742,1240,412
746,994,314,539,455,968,535,815,1200,420
628,1041,318,1211,608,479,532,1373,869,80
756,844,311,229,438,800,544,853,367,410
788,746,307,741,457,826,540,777,472,456
920,782,317,1066,400,849,538,877,1695,275
139,985,307,831,413,521,538,773,971,483
285,1559,316,488,528,794,536,1087,574,171
28,965,318,925,594,526,540,1010,831,393
1286,767,308,842,678,615,535,848,1558,1313
478,1081,324,1462,599,532,543,1074,672,414
948,1016,334,529,575,181,546,673,821,691
800,547,336,838,389,237,555,551,1298,-20
690,691,335,829,230,998,556,831,1093,1220
1049,813,324,755,201,445,548,651,663,577
889,855,335,1059,710,306,547,1056,504,153
993,672,334,568,519,763,547,994,1147,687
601,511,343,1147,613,280,556,830,1284,481
502,953,327,621,751,771,542,483,878,921
368,736,336,514,567,366,548,802,1344,1147
538,706,340,411,353,-39,541,779,848,570
856,1023,343,759,449,298,545,993,972,257
746,137,336,1188,751,534,539,912,679,1409
745,570,337,1004,717,577,549,878,1036,719
362,1696,340,766,245,315,553,958,1157,371
1029,1025,338,366,581,299,554,783,1063,-84
857,614,334,929,844,461,539,1133,153,416
1395,880,327,268,503,808,556,884,460,441
856,820,344,877,675,341,552,466,654,1094
399,409,344,1074,462,-104,550,803,767,482
811,630,343,1322,530,178,560,980,1330,-201
735,1137,337,848,305,350,560,953,599,167
777,499,344,473,530,842,551,741,627,408
1129,835,343,758,335,534,561,834,1220,774
362,898,338,427,440,375,557,493,1068,1246
311,710,347,577,436,466,554,1074,1233,964
880,918,335,883,609,701,554,895,733,380
920,724,343,916,575,756,562,983,1007,938
422,1023,344,1592,655,886,557,578,977,145
1053,655,337,639,393,464,565,856,791,387
1069,974,338,1188,511,445,554,1026,1533,627
608,630,346,452,599,841,553,754,621,989
266,607,347,1010,441,455,562,797,1321,819
455,1271,342,439,435,816,571,506,1219,375
669,800,334,671,331,459,561,1045,1003,618
918,905,347,1170,693,1125,576,917,493,788
472,932,341,678,499,326,569,604,386,837
948,735,341,850,502,490,577,905,122,-200
554,1028,352,789,615,743,576,1035,472,513
552,1034,345,1020,614,791,575,967,1376,1022
699,1046,337,1256,183,1057,582,756,551,817
596,868,335,709,626,512,591,1232,855,905
848,935,332,205,862,653,575,735,665,637
877,749,334,531,547,360,585,767,761,1432
859,885,326,716,698,1002,576,898,898,933
795,772,326,1230,658,265,580,850,796,167
-337,601,332,490,448,1056,592,809,745,233
1306,398,325,784,828,344,581,583,717,700
1019,655,327,692,605,718,591,747,853,178
130,1099,324,230,575,544,601,857,1714,485
181,1100,319,1009,643,523,594,1178,770,57
248,696,330,1065,487,193,585,831,957,617
531,543,320,230,738,729,599,1126,718,286
406,1242,336,806,376,479,595,901,1052,961
527,832,331,770,643,473,584,1108,454,801
187,693,324,936,403,575,593,1231,1074,222
907,766,318,551,558,109,595,619,774,663
55,997,332,688,706,662,587,1025,1327,484
1001,410,329,701,438,650,593,1089,255,1045
540,997,320,808,222,1017,596,919,711,655
801,541,330,1046,575,48,595,1047,675,870
751,629,316,1223,121,649,583,777,1235,314
815,1091,323,616,491,286,593,768,902,878
514,1256,329,641,509,1074,595,798,564,823
820,799,313,647,136,415,591,437,304,472
625,429,326,704,280,405,586,627,1282,94
572,883,313,777,508,362,600,827,1122,352
1138,613,321,1059,805,705,596,917,232,661
211,411,315,902,-14,433,602,998,539,5
465,774,322,885,542,-221,594,529,603,881
428,644,325,876,429,784,600,840,709,1175
1421,1436,313,928,745,1003,591,1134,508,1056
1003,605,326,837,679,454,601,752,1143,-111
753,689,321,151,470,651,603,1021,1221,893
307,1070,327,1165,309,708,596,741,1089,308
688,1153,316,1161,19,842,596,680,1346,236
1676,958,312,814,439,473,606,759,-121,542
811,1051,309,1405,475,848,606,645,1325,-95
909,761,309,899,719,352,594,1176,1246,593
770,834,318,456,766,1005,604,970,519,312
983,348,320,481,179,950,592,785,775,259
796,607,311,283,1129,731,598,1034,237,622
964,448,308,1020,248,312,590,892,730,577
275,929,312,723,678,781,591,1115,645,699
671,1336,317,670,972,829,594,630,273,792
273,773,313,760,645,524,603,1064,803,1198
448,1248,302,973,626,110,605,881,1035,610
345,617,310,600,552,321,602,868,1533,538
89,1076,300,1077,965,530,599,1067,602,-94
334,895,305,1150,425,771,609,487,814,630
726,532,305,104,340,1161,603,687,1164,-39
678,905,295,807,404,566,599,1060,1310,-152
879,830,295,1392,470,621,597,777,1435,1175
424,893,302,1183,686,711,591,1064,1024,599
489,444,294,662,578,394,599,731,-97,440
505,985,286,1428,555,391,591,962,1250,511
568,769,298,968,550,759,606,889,-86,636
817,879,300,706,504,1086,591,974,904,245
700,858,300,737,370,684,589,660,864,342
154,851,303,592,795,202,593,883,991,375
835,825,295,697,826,1042,600,876,894,853
649,796,285,541,638,968,597,1132,371,551
629,633,282,839,355,323,594,735,395,733
888,1019,283,1040,576,512,605,879,418,669
807,1045,285,835,576,415,607,732,467,248
1143,988,285,1260,688,1099,596,712,372,840
962,301,276,124,582,91,586,987,862,207
654,739,281,891,703,465,589,878,1561,394
744,752,297,611,705,275,503,844,565,284
743,774,304,1156,221,812,501,655,1048,485
772,1230,290,817,699,326,494,586,987,717
186,939,299,519,691,727,497,680,1143,544
1097,772,305,563,273,630,497,814,369,864
1094,649,288,1287,253,356,511,665,801,688
1680,1139,298,1216,475,95,502,917,1392,584
1107,394,291,1606,608,786,507,856,431,420
1217,1636,305,853,502,281,493,736,996,467
543,1256,300,1166,210,478,503,1013,393,718
321,1293,307,631,589,467,496,523,804,691
483,790,304,562,667,783,506,703,1253,882
211,775,290,846,783,-165,501,783,982,582
250,615,300,264,728,259,500,843,584,1025
789,371,290,1321,104,45,505,1263,924,793
913,1159,307,656,730,792,509,993,600,472
158,844,295,789,814,489,496,785,232,1409
359,1034,295,1007,617,609,500,799,583,631
42,725,291,692,207,696,502,817,1803,886
431,1376,301,718,359,1111,498,501,405,447
1607,1018,295,751,471,74,504,838,584,935
947,586,309,906,630,443,496,1043,1466,353
757,613,314,626,357,321,487,1038,747,268
266,1022,307,818,571,270,496,732,1010,584
824,1109,316,486,655,779,478,832,738,715
266,1229,325,590,512,886,483,1275,2230,481
670,1201,329,905,708,896,491,452,904,54
775,514,332,909,182,807,479,626,651,114
377,1070,321,950,611,366,483,938,776,90
264,1694,320,638,737,671,481,1145,679,507
543,473,331,495,565,213,474,1037,678,334
777,682,326,654,600,540,483,523,1170,1184
-109,1315,318,1071,831,429,479,994,601,1138
880,1149,319,879,355,568,478,739,883,909
820,1105,328,1009,173,434,483,881,263,813
1167,856,333,777,447,883,484,644,113,1031
-596,982,337,907,546,1087,476,847,691,379
641,1065,331,728,234,540,477,765,127,-25
515,1078,322,708,419,657,480,493,209,933
449,503,332,1133,487,461,484,789,389,768
473,790,341,892,621,398,478,897,337,318
654,652,339,1151,551,973,493,1037,892,376
638,1032,330,569,721,665,486,680,663,733
1268,1002,336,957,186,781,487,683,1268,1153
427,258,346,684,441,190,488,1145,101,-95
24,1003,351,775,120,754,495,757,1194,22
1056,630,340,206,300,337,478,997,1363,399
343,552,346,846,381,521,479,584,598,611
772,725,356,533,533,767,483,401,993,933
786,915,347,603,721,565,488,799,297,1007
713,928,346,1580,902,969,490,787,1308,905
584,885,345,822,375,643,484,1221,646,694
871,1012,354,600,587,794,490,873,790,732
1128,854,344,880,536,633,497,723,1285,323
611,722,362,876,701,1206,500,540,542,335
1170,619,351,769,360,544,481,855,891,836
1374,758,344,705,271,221,483,1261,670,176
798,798,352,673,567,791,498,617,1030,285
170,1049,360,989,759,1172,491,1040,866,816
489,1249,355,240,656,205,494,984,-199,441
718,644,357,318,344,997,482,1061,790,815
1264,840,369,-23,495,490,497,623,1064,441
783,717,368,1167,521,787,486,771,1208,702
1153,726,350,1345,534,433,494,1060,1544,406
1086,1264,350,652,251,903,481,1033,841,1037
1032,251,379,1023,314,212,590,714,1495,614
-9,1019,372,732,715,559,597,470,1030,77
1065,943,380,642,604,542,587,822,1088,355
965,694,370,523,478,449,591,981,1203,687
1061,873,380,645,345,351,595,472,383,1096
334,1475,381,608,588,742,590,573,1160,716
675,1036,565,836,89,865,486,907,694,576
1102,627,567,1356,369,508,495,1033,805,820
311,806,555,682,236,1172,493,868,1343,708
-380,961,566,691,668,311,486,800,1179,371
814,930,566,301,558,736,494,852,258,198
1102,808,571,153,863,245,491,823,785,804
1368,593,556,1132,560,479,488,690,881,536
697,890,573,1116,634,765,482,1062,814,1070
249,702,567,335,988,716,491,1137,1083,597
1045,433,558,914,640,586,496,953,623,1411
1197,985,573,1014,307,436,489,679,1262,269
856,927,561,686,922,327,489,783,810,1451
731,844,577,998,590,619,485,784,462,1048
830,882,573,1094,317,62,497,934,842,24
682,859,566,1167,172,127,490,987,595,-491
465,1108,567,1224,601,72,500,1040,854,562
991,1065,575,711,455,245,510,973,1453,-65
320,990,564,727,796,642,509,885,442,821
359,886,564,826,659,625,496,742,1018,-159
589,695,576,1235,441,505,501,1089,572,596
565,929,564,837,328,678,510,1039,795,521
1184,937,566,840,563,749,520,1054,687,1054
834,916,570,787,716,401,522,907,1103,274
752,560,567,572,467,422,527,754,1581,594
1239,913,566,640,480,283,520,1029,47,1155
1053,742,566,1431,677,267,531,884,1427,785
741,471,564,568,431,704,534,844,790,90
500,648,570,1158,347,746,536,781,322,590
997,830,567,913,19,278,533,497,1113,612
815,1065,563,652,833,1028,538,801,1144,407
728,1084,560,657,508,-60,523,567,1150,1057
1341,1203,566,770,647,427,532,894,1165,279
1112,1004,567,1525,490,596,534,732,764,-16
376,940,559,833,689,577,528,653,787,225
596,628,566,678,315,499,536,1058,151,702
978,1131,560,689,499,695,530,797,1095,78
747,603,574,609,703,831,528,909,1031,490
710,1011,573,1588,544,449,530,1095,1567,501
1249,772,566,540,762,951,538,1100,1139,607
378,525,566,658,398,-10,542,935,679,995
487,88,562,569,106,619,537,728,237,182
803,1067,571,753,479,782,547,671,678,387
246,898,567,951,704,980,557,643,790,645
1012,437,577,1543,222,696,557,912,1027,1101
1269,690,561,862,647,417,555,716,729,567
1228,642,560,1195,837,685,565,703,981,937
623,882,567,840,724,664,573,749,1142,631
421,574,572,1021,644,636,571,577,747,898
648,1180,571,1207,787,347,570,613,623,995
